UDF	undefined nucleus
UDFn	undefined nerve
BC	Brachium Conjunctivum
EmGr	Eminentia Granularis
VMu	nucleus trigeminalis descendens, pars Muralis
VIp	nucleus trigeminalis descendens, pars Interpolaris
PrVd	nucleus trigeminalis principalis, pars dorsalis
VIpp	nucleus trigeminalis descendens interpolaris, pars posterior
VOrp	nucleus trigeminalis descendens Oralis, pars posterior
PrVv	nucleus trigeminalis principalis, pars ventralis
VOra	nucleus trigeminalis descendens Oralis pars anterior
preV	nucleus pretrigeminalis??
TrVdes	Tractus trigemini descendens
UDFtr	Undefined Tract
VOri	nucleus trigeminalis descendens Oralis, pars intermedius
Vcd	nucleus trigemini descendens, pars caudalis/spinialis
CereNuc	Deep cerebellar nuclei
9N	glossopharyngeal nucleus
