# name, extension, param_dependencies (0 for gabor, 1 for segm, 2 for gabor + vq, 3 for gabor + segm + vq), store_dir (0 for section dir, 1 for stack dir)
name extension param_dep dir
features npy 0 0
featuresRotated npy 0 0
centroids npy 0 0
segmentation npy 1 0
spCentroids npy 1 0
spAreas npy 1 0
spBbox npy 1 0
spCoords npy 1 0
segmentationWithoutText jpg 1 0
segmentationWithText jpg 1 0
segmentationTransparent png 1 0
neighbors pkl 1 0
edgeCoords pkl 1 0
edgeNeighbors pkl 1 0
edgeCoords pkl 1 0
edgeMidpoints pkl 1 0
edgeVectors pkl 1 0
dedgeNeighbors pkl 1 0
textons npy 2 1
texMap npy 2 0
texMapViz jpg 2 0
texHist npy 3 0
allSeedClusterScoreDedgeTuples pkl 3 0
